группа деканата;псевдоним
2013.О.5.П.ИПиП.25.Б;425_2017
2013.О.5.П.ИЮ.1.Б;ИЮ511С(б)
2013.О.5.П.ИЮ.11.Б;ИЮ411Б_2017
2013.О.5.П.ИЮ.11.С;ИЮ511С
2013.О.5.П.ИЮ.12.Б;ИЮ412Б_2017
2013.О.5.П.ИЮ.12.С;ИЮ512С
2013.О.5.П.ИЮ.13.Б;ИЮ413Б_2017
2013.О.5.П.ИЮ.13.С;ИЮ513С
2013.О.5.П.ИЮ.14.Б;ИЮ414Б_2017
2013.О.5.П.ИЮ.14.С;ИЮ514С
2013.О.5.П.ИЮ.15.Б;ИЮ415Б_2017
2013.О.5.П.ИЮ.16.Б;ИЮ416Б_2017
2013.О.5.П.ИЮ.17.Б;ИЮ417_2017
2013.О.5.П.ИЮ.18.Б;ИЮ418Б_2017
2013.О.5.П.ИЮ.19.Б;ИЮ419Б_2017
2013.О.5.П.ИЮ.20.Б;ИЮ420Б_2017
2013.О.5.П.ИЮ.21.Б;ИЮ421Б_2017
2013.О.5.П.ИЮ.22.Б;ИЮ422Б
2013.О.5.П.ИЮ.312.Б;ИЮ512С(б)_2017
2013.О.5.П.ИЮ.313.Б;ИЮ513С(б)_2017
2013.О.5.П.ИЮ.314.Б;ИЮ514С(б)_2017
2013.О.5.П.Уфа.1.Б;2.1 СО_2013
2013.О.5.П.ФСПО.2.СПО;32_2016
2013.О.5.П.ФСПО.3.СПО;32А_2016
2013.О.5.СОП.ИЗиУО.65.Б;465_2017
2014.В.5.ВВ.ВФ.4.Б;44
2014.В.5.П.ВФ.1.Б;ИСОП51Б_вф_со
2014.В.5.П.ВФ.2.Б;ИСОП52Б_вф_со
2014.В.5.П.ВФ.3.Б;ИСОП53Б_вф_со
2014.В.5.П.ИЗиУО.9.Б;29
2014.В.5.П.ФДО.1.ДПО;Юристы 2014-2016
2014.В.5.П.ФДО.2.ДПО;Бухучёт 2014-2016
2014.В.5.П.ФДО.3.ДПО;Психологи 2014-2016
2014.В.5.П.ФДО.4.ДПО;Переводчики 2014-2016
2014.В.5.СОП.ИЗиУО.8.Б;48
2014.З.32.П.ИП.1.М;701-ЗО
2014.З.33.П.ИПиП.23.М;723-ЗО_2016
2014.З.34.П.ИПиП.26.М;726-ЗО_2016
2014.З.36.П.ИПиП.24.М;724-ЗО_2016
2014.З.41.П.ИЮ.14.М;ИЮ714М-зо_2016
2014.З.43.П.ИЮ.12.М;ИЮ712М-зо_2016
2014.З.49.П.ИГиМП.31.М;731зо_2016
2014.З.5.ВВ.ИГиМП.45.Б;445
2014.З.5.ВВ.ИГиМП.47.Б;447
2014.З.5.ВВ.ИЗиУО.21.Б;421
2014.З.5.ВВ.ИЗиУО.22.Б;422
2014.З.5.П.ИГиМП.40.Б;ИГиМП540Б_зф_со
2014.З.5.П.ИГиМП.41.Б;ИГиМП541Б_зф_со
2014.З.5.П.ИГиМП.42.Б;ИГиМП542Б_зф_со
2014.З.5.П.ИЗиУО.1.Б;ИСОП501Б_зф_со
2014.З.5.П.ИЗиУО.2.Б;ИСОП502Б_зф_со
2014.З.5.П.ИЗиУО.3.Б;ИСОП503Б_зф_со
2014.З.5.П.ИСОП.4.Б;ИСОП504Б_зф_со
2014.З.5.П.ИСОП.5.Б;ИСОП505Б_зф_со
2014.З.5.П.ФСПО.2.СПО;42-З
2014.З.5.СОП.ИЗиУО.11.Б;411
2014.З.5.СОП.ИЗиУО.12.Б;412
2014.З.5.СОП.ИЗиУО.13.Б;413
2014.З.5.СОП.ИЗиУО.14.Б;414
2014.З.5.СОП.ИЗиУО.15.Б;415
2014.З.53.П.ИГиМП.30.М;730зо_2016
2014.З.54.П.ИПиП.25.М;725-ЗО_2016
2014.З.55.П.ИГиМП.32.М;732зо_2016
2014.З.56.П.ИЮ.15.М;ИЮ715М-зо_2016
2014.З.57.П.ИЮ.13.М;ИЮ713М-зо_2016
2014.З.59.П.ИПиП.27.М;727-ЗО
2014.О.32.П.ИП.1.М;701
2014.О.33.П.ИПиП.23.М;723_2016
2014.О.36.П.ИПиП.24.М;724_2016
2014.О.40.П.ИЮ.11.М;ИЮ711М_2016
2014.О.41.П.ИЮ.14.М;ИЮ714М_2016
2014.О.43.П.ИЮ.12.М;ИЮ712М_2016
2014.О.49.П.ИГиМП.31.М;731_2016
2014.О.5.ВВ.АиД.2.А;802
2014.О.5.П.ИГиМП.30.Б;430
2014.О.5.П.ИГиМП.31.Б;431
2014.О.5.П.ИГиМП.32.Б;432
2014.О.5.П.ИГиМП.33.Б;433
2014.О.5.П.ИГиМП.34.Б;434
2014.О.5.П.ИГиМП.35.Б;435
2014.О.5.П.ИП.1.Б;ИП-401
2014.О.5.П.ИП.10.Б;ИП-410
2014.О.5.П.ИП.11.Б;ИП-411
2014.О.5.П.ИП.12.Б;ИП-412
2014.О.5.П.ИП.13.Б;ИП-413
2014.О.5.П.ИП.14.Б;ИП-414
2014.О.5.П.ИП.15.Б;ИП-415
2014.О.5.П.ИП.16.Б;ИП-416
2014.О.5.П.ИП.17.Б;ИП-417
2014.О.5.П.ИП.18.Б;ИП-418
2014.О.5.П.ИП.19.Б;ИП-419
2014.О.5.П.ИП.2.Б;ИП-402
2014.О.5.П.ИП.20.Б;ИП-420
2014.О.5.П.ИП.21.Б;ИП-421
2014.О.5.П.ИП.22.Б;ИП-422
2014.О.5.П.ИП.23.Б;ИП-423
2014.О.5.П.ИП.3.Б;ИП-403
2014.О.5.П.ИП.4.Б;ИП-404
2014.О.5.П.ИП.5.Б;ИП-405
2014.О.5.П.ИП.6.Б;ИП-406
2014.О.5.П.ИП.7.Б;ИП-407
2014.О.5.П.ИП.8.Б;ИП-408
2014.О.5.П.ИП.9.Б;ИП-409
2014.О.5.П.ИПиП.23.Б;423
2014.О.5.П.ИПиП.24.Б;424
2014.О.5.П.ИЮ.1.Б;ИЮ512С(б)
2014.О.5.П.ИЮ.11.Б;ИЮ411Б
2014.О.5.П.ИЮ.11.С;ИЮ511С
2014.О.5.П.ИЮ.12.Б;ИЮ412Б
2014.О.5.П.ИЮ.12.С;ИЮ512С
2014.О.5.П.ИЮ.13.Б;ИЮ413Б
2014.О.5.П.ИЮ.13.С;ИЮ513С
2014.О.5.П.ИЮ.14.Б;ИЮ414Б
2014.О.5.П.ИЮ.15.Б;ИЮ415Б
2014.О.5.П.ИЮ.16.Б;ИЮ416Б
2014.О.5.П.ИЮ.17.Б;ИЮ417Б
2014.О.5.П.ИЮ.18.Б;ИЮ418Б
2014.О.5.П.ИЮ.19.Б;ИЮ419Б
2014.О.5.П.ИЮ.2.Б;ИЮ513С(б)
2014.О.5.П.ИЮ.20.Б;ИЮ420Б
2014.О.5.П.ИЮ.21.Б;ИЮ421Б
2014.О.5.П.ИЮ.22.Б;ИЮ422Б
2014.О.5.П.ИЮ.3.Б;ИЮ514С(б)
2014.О.5.П.ФСПО.1.СПО;21
2014.О.5.П.ФСПО.2.СПО;32
2014.О.5.П.ФСПО.3.СПО;32А
2014.О.5.СОП.ИЗиУО.65.Б;465
2014.О.53.П.ИГиМП.30.М;730_2016
2014.О.54.П.ИПиП.25.М;725_2016
2014.О.55.П.ИГиМП.32.М;732_2016
2014.О.57.П.ИЮ.13.М;ИЮ713М_2016
2014.О.61.П.АиД.1.А;АиД301(02)
2014.О.62.П.АиД.2.А;АиД302(03)
2014.О.64.П.АиД.3.А;АиД303(08)
2014.О.65.П.АиД.4.А;АиД304(09)
2014.О.66.П.АиД.5.А;АиД305(10)
2014.О.69.П.АиД.6.А;АиД306(14)
2014.О.70.П.АиД.7.А;АиД307(15)
2015.В.5.ВВ.ВФ.4.Б;34
2015.В.5.П.ВФ.1.Б;ИСОП51Б_вф_со
2015.В.5.П.ВФ.2.Б;ИСОП52Б_вф_со
2015.В.5.П.ВФ.3.Б;ИСОП53Б_вф_со
2015.В.5.СОП.ИЗиУО.8.Б;ИСОП48Б_вф_спо
2015.В.58.П.ИГиМП.32.М;732
2015.З.32.П.ИП.1.М;701-ЗО
2015.З.32.П.ИП.2.М;702-ЗО
2015.З.32.П.ИП.3.М;703-ЗО
2015.З.32.П.ИП.4.М;704-ЗО
2015.З.32.П.ИП.5.М;705-ЗО
2015.З.33.П.ИПиП.23.М;723-ЗО
2015.З.34.П.ИПиП.26.М;726-ЗО
2015.З.36.П.ИПиП.24.М;724-ЗО
2015.З.40.П.ИЮ.11.М;ИЮ711М-зо_2017
2015.З.41.П.ИЮ.16.М;ИЮ716М-зо_2017
2015.З.42.П.ИЮ.19.М;ИЮ719М-зо_2017
2015.З.43.П.ИЮ.12.М;ИЮ712М-зо_2017
2015.З.44.П.ИЮ.13.М;ИЮ713М-зо_2017
2015.З.49.П.ИГиМП.31.М;731зо
2015.З.5.ВВ.ИГиМП.45.Б;445
2015.З.5.ВВ.ИГиМП.46.Б;446
2015.З.5.ВВ.ИГиМП.47.Б;447
2015.З.5.ВВ.ИЗиУО.21.Б;321
2015.З.5.ВВ.ИЗиУО.22.Б;322
2015.З.5.П.ИГиМП.40.Б;ИГиМП540Б_зф_со
2015.З.5.П.ИГиМП.41.Б;ИГиМП541Б_зф_со
2015.З.5.П.ИГиМП.42.Б;ИГиМП442-зо-со
2015.З.5.П.ИЗиУО.1.Б;ИСОП501Б_зф_со
2015.З.5.П.ИЗиУО.2.Б;ИСОП502Б_зф_со
2015.З.5.П.ИСОП.3.Б;ИСОП503Б_зф_со
2015.З.5.П.ФСПО.7.СПО;37-З
2015.З.5.СОП.ИЗиУО.11.Б;ИСОП411Б_зф_спо
2015.З.5.СОП.ИЗиУО.12.Б;ИСОП412Б_зф_спо
2015.З.5.СОП.ИЗиУО.13.Б;ИСОП413Б_зф_спо
2015.З.5.СОП.ИЗиУО.14.Б;ИСОП414Б_зф_спо
2015.З.5.СОП.ФСПО.8.СПО;ИСОП(ФСПО)48ПД-зо
2015.З.53.П.ИГиМП.30.М;730зо
2015.З.54.П.ИПиП.25.М;725-ЗО
2015.З.56.П.ИЮ.17.М;ИЮ717М-зо_2017
2015.З.57.П.ИЮ.14.М;ИЮ714М-зо_2017
2015.З.57.П.ИЮ.15.М;ИЮ715М-зо_2017
2015.З.59.П.ИПиП.27.М;727-ЗО
2015.О.32.П.ИП.1.М;701
2015.О.32.П.ИП.1.С;ИП501С
2015.О.32.П.ИП.2.М;702
2015.О.32.П.ИП.2.С;ИП502С
2015.О.32.П.ИП.3.М;703
2015.О.32.П.ИП.3.С;ИП503С
2015.О.32.П.ИП.4.М;704
2015.О.32.П.ИП.4.С;ИП504С
2015.О.32.П.ИП.5.С;ИП505С
2015.О.32.П.ИП.6.С;ИП506С
2015.О.33.П.ИПиП.23.М;723
2015.О.34.П.ИПиП.26.М;726
2015.О.36.П.ИПиП.24.М;724
2015.О.40.П.ИЮ.11.М;ИЮ711М_2017
2015.О.41.П.ИЮ.16.М;ИЮ716М_2017
2015.О.43.П.ИЮ.12.М;ИЮ712М_2017
2015.О.44.П.ИЮ.13.М;ИЮ713М_2017
2015.О.49.П.ИГиМП.31.М;731
2015.О.5.ВВ.АиД.1.А;801
