группа деканата;псевдоним
2020.З.101.П.ИЮ.1.М;ИЮ718М_зф
2020.З.101.П.ИЮ.2.М;ИЮ719М_зф
2020.З.101.П.ИЮ.3.М;ИЮ720М_зф
2020.З.104.П.ИЮ.1.М;ИЮ711М_зф
2020.З.104.П.ИЮ.2.М;ИЮ712М_зф
2020.З.106.П.ИЮ.1.М;ИЮ715М_зф
2020.З.106.П.ИЮ.2.М;ИЮ716М_зф
2020.З.106.П.ИЮ.3.М;ИЮ717М_зф
2020.З.107.П.ИЮ.1.М;ИЮ723М_зф
2020.З.108.П.ИЮ.1.М;ИЮ721М_зф
2020.З.108.П.ИЮ.2.М;ИЮ722М_зф
2020.З.110.П.ИЮ.1.М;ИЮ713М_зф
2020.З.110.П.ИЮ.2.М;ИЮ714М_зф
2020.З.32.П.ИП.1.М;ИП701М_зф
2020.З.32.П.ИП.2.М;ИП702М_зф
2020.З.32.П.ИП.3.М;ИП703М_зф
2020.З.32.П.ИП.4.М;ИП704М_зф
2020.З.32.П.ИП.5.М;ИП705М_зф
2020.З.32.П.ИП.6.М;ИП706М_зф
2020.З.32.П.ИП.7.М;ИП707М_зф
2020.З.33.П.ИПиП.1.М;ИПиП701М_зф
2020.З.33.П.ИПиП.2.М;ИПиП702М_зф
2020.З.33.П.ИПиП.3.М;ИПиП703М_зф
2020.З.33.П.ИПиП.4.М;ИПиП704М_зф
2020.З.33.П.ИПиП.5.М;ИПиП705М_зф
2020.З.33.П.ИПиП.6.М;ИПиП706М_зф
2020.З.49.П.ИГиМП.1.М;ИГиМП701М_зф
2020.З.49.П.ИГиМП.2.М;ИГиМП702М_зф
2020.З.5.ВВ.ИГиМП.1.Б;ИГиМП201Б_вф_со
2020.З.5.ВВ.ИГиМП.2.Б;ИГиМП201Б_зф_во
2020.З.5.ВВ.ИГиМП.3.Б;ИГиМП201Б_зф_во_сб
2020.З.5.П.ИГиМП.2.Б;ИГиМП202Б_вф_со
2020.З.5.П.ИГиМП.3.Б;ИГиМП203Б_вф_со
2020.З.5.СОП.ИСОП.1.Б;ИСОП201Б_вф_спо_иуп
2020.З.5.СОП.ИСОП.2.Б;ИСОП202Б_вф_спо_иуп
2020.З.5.СОП.ИСОП.3.Б;ИСОП203Б_вф_спо_иуп
2020.З.56.П.АиД.1.А;АиД202_03_зф
2020.З.56.П.АиД.2.А;АиД203_03_зф
2020.З.58.П.АиД.1.А;АиД207_14_зф
2020.З.63.П.АиД.1.А;АиД201_01_зф
2020.З.65.П.АиД.1.А;АиД206_11_зф
2020.З.66.П.АиД.1.А;АиД_205_08_зф
2020.З.67.П.АиД.1.А;АиД204_05_зф
2020.З.85.П.ИПИП.1.С;ИПиП201СД_зф
2020.З.85.П.ИПИП.2.С;ИПиП202СД_зф
2020.З.85.П.ИПИП.3.С;ИПиП203СД_зф
2020.З.85.П.ИПИП.4.С;ИПиП204СД_зф
2020.З.85.П.ИСОП.1.СПО;ИСОП21СПО_зф
2020.З.85.П.ИСОП.2.СПО;ИСОП22СПО_зф
2020.З.95.П.ИПиП.1.М;ИПиП701/2М_зф
2020.О.0.П.ИСОП.1.ДО;ИСОП_ДО_Садихов
2020.О.32.П.ИП.1.М;ИП701М
2020.О.32.П.ИП.1.С;ИП201С
2020.О.32.П.ИП.10.С;ИП210С
2020.О.32.П.ИП.11.С;ИП211С
2020.О.32.П.ИП.12.С;ИП212С
2020.О.32.П.ИП.13.С;ИП213С
2020.О.32.П.ИП.14.С;ИП214С
2020.О.32.П.ИП.15.С;ИП215С
2020.О.32.П.ИП.2.М;ИП702М
2020.О.32.П.ИП.2.С;ИП202С
2020.О.32.П.ИП.3.М;ИП703М
2020.О.32.П.ИП.3.С;ИП203С
2020.О.32.П.ИП.4.С;ИП204С
2020.О.32.П.ИП.5.С;ИП205С
2020.О.32.П.ИП.6.С;ИП206С
2020.О.32.П.ИП.7.С;ИП207С
2020.О.32.П.ИП.8.С;ИП208С
2020.О.32.П.ИП.9.С;ИП209С
2020.О.33.П.ИПиП.1.М;ИПиП701М
2020.О.33.П.ИПиП.2.М;ИПиП702М
2020.О.33.П.ИПиП.3.М;ИПиП703М
2020.О.33.П.ИПиП.4.М;ИПиП604М
2020.О.33.П.ИПиП.5.М;ИПиП705М
2020.О.49.П.ИГиМП.1.М;ИГиМП701М
2020.О.49.П.ИГиМП.2.М;ИГиМП702М
2020.О.5.П.ИГиМП.1.Б;ИГиМП201Б
2020.О.5.П.ИГиМП.2.Б;ИГиМП202Б
2020.О.5.П.ИГиМП.3.Б;ИГиМП203Б
2020.О.5.П.ИГиМП.4.Б;ИГиМП204Б
2020.О.5.П.ИГиМП.5.Б;ИГиМП205Б
2020.О.5.П.ИГиМП.6.Б;ИГиМП206Б
2020.О.5.П.ИП.1.Б;ИП201Б
2020.О.5.П.ИП.2.Б;ИП202Б
2020.О.5.П.ИП.3.Б;ИП203Б
2020.О.5.П.ИПиП.1.Б;ИПиП201Б
2020.О.5.П.ИПиП.2.Б;ИПиП202Б
2020.О.5.П.ИПиП.3.Б;ИПиП203Б
2020.О.5.П.ИПиП.4.Б;ИПиП204Б
2020.О.5.П.ИПиП.5.Б;ИПиП205Б
2020.О.5.П.ИЮ.1.Б;ИЮ211Б
2020.О.5.П.ИЮ.2.Б;ИЮ212Б
2020.О.5.П.ИЮ.3.Б;ИЮ213Б
2020.О.5.П.ИЮ.4.Б;ИЮ214Б
2020.О.5.П.ИЮ.5.Б;ИЮ215Б
2020.О.5.П.ИЮ.6.Б;ИЮ216Б
2020.О.5.П.ИЮ.7.Б;ИЮ217Б
2020.О.5.П.ИЮ.8.Б;ИЮ218Б
2020.О.5.СОП.ИСОП.1.Б;ИСОП201Б_спо
2020.О.56.П.АиД.1.А;АиД203_03
2020.О.56.П.АиД.2.А;АиД204_03
2020.О.56.П.ИЮ.1.М;ИЮ715М
2020.О.57.П.АиД.1.А;АиД207_10
2020.О.57.П.ИЮ.1.М;ИЮ611М
2020.О.57.П.ИЮ.2.М;ИЮ712М
2020.О.57.П.ИЮ.3.М;ИЮ713М
2020.О.57.П.ИЮ.4.М;ИЮ714М
2020.О.57.П.ИЮ.6.М;ИЮ716М
2020.О.57.П.ИЮ.7.М;ИЮ717М
2020.О.58.П.АиД.1.А;АиД209_14
2020.О.58.П.ИГиМП.1.М;ИГиМП703М
2020.О.62.П.АиД.1.А;АиД202_02
2020.О.63.П.АиД.1.А;АиД201_01
2020.О.64.П.АиД.1.А;АиД210_15
2020.О.65.П.АиД.1.А;АиД208_11
2020.О.66.П.АиД.1.А;АиД206_08
2020.О.72.П.АиД.1.А;АиД205_04
2020.О.78.П.ИЮ.1.С;ИЮ211С
2020.О.78.П.ИЮ.2.С;ИЮ212С
2020.О.78.П.ИЮ.3.С;ИЮ213С
2020.О.85.П.ИСОП.1.СПО;ИСОП21СПО
2020.О.85.П.ИСОП.2.СПО;ИСОП22СПО
2020.О.85.П.ИСОП.3.СПО;ИСОП23СПО
2020.О.85.П.ИСОП.4.СПО;ИСОП24СПО
2020.О.85.П.ИСОП.5.СПО;ИСОП25СПО
2020.О.85.П.ИЮ.1.С;ИЮ211СД
2020.О.85.П.ИЮ.2.С;ИЮ212СД
2020.О.85.П.ИЮ.3.С;ИЮ213СД
2020.О.85.П.ИЮ.4.С;ИЮ214СД
2020.О.86.П.ИГиМП.1.М;ИГиМП704М
2021.В.116.ВВ.ИПиП.1.С;ИПиП101СД_зф_во
2021.В.116.П.ИПиП.1.С;ИПиП101СД_зф
2021.В.116.П.ИПиП.2.С;ИПиП102СД_зф
2021.В.83.ВВ.ИГиМП.1.Б;ИГиМП101Б_зф_во
2021.В.83.ВВ.ИГиМП.2.Б;ИГиМП101Б_зф_во_сб
2021.В.83.СОП.ИСОП.1.Б;ИСОП101Б_зф_спо
2021.В.83.СОП.ИСОП.2.Б;ИСОП102Б_зф_спо
2021.В.83.СОП.ИСОП.3.Б;ИСОП103Б_зф_спо
2021.В.84.П.ИГиМП.1.М;ИГиМП601М_зф
2021.В.84.П.ИГиМП.2.М;ИГиМП602М_зф
2021.В.84.П.ИП.1.М;ИП601М_зф
2021.В.84.П.ИП.2.М;ИП602М_зф
2021.В.84.П.ИП.3.М;ИП603М_зф
2021.В.84.П.ИП.4.М;ИП604М_зф
2021.В.84.П.ИП.5.М;ИП605М_зф
2021.В.84.П.ИПиП.1.М;ИПиП601М_зф
2021.В.84.П.ИПиП.2.М;ИПиП602М_зф
2021.В.84.П.ИПиП.3.М;ИПиП603/1М_зф
2021.В.84.П.ИПиП.4.М;ИПиП603М_зф
2021.В.84.П.ИПиП.5.М;ИПиП604/1_зф
2021.В.84.П.ИПиП.6.М;ИПиП604М_зф
2021.В.84.П.ИПиП.7.М;ИПиП605/1М_зф
2021.В.84.П.ИПиП.8.М;ИПиП605М_зф
2021.В.84.П.ИПиП.9.М;ИПиП606М_зф
2021.В.84.П.ИЮ.1.М;ИЮ601М_зф
2021.В.84.П.ИЮ.2.М;ИЮ602/1М_зф
2021.В.84.П.ИЮ.3.М;ИЮ602/2М_зф
2021.В.84.П.ИЮ.4.М;ИЮ602М_зф
2021.В.84.П.ИЮ.5.М;ИЮ603/1М_зф
2021.В.84.П.ИЮ.6.М;ИЮ603М_зф
2021.В.84.П.ИЮ.7.М;ИЮ604М_зф
2021.В.84.П.ИЮ.8.М;ИЮ605/1М_зф
2021.В.84.П.ИЮ.9.М;ИЮ605М_зф
2021.В.85.П.ИСОП.1.СОП;ИСОП11СПО_зф
2021.В.85.П.ИСОП.2.СОП;ИСОП12СПО_зф
2021.В.87.П.ОАиД.1.А;АиД101_01_зф
2021.В.87.П.ОАиД.2.А;АиД102_03_зф
2021.В.87.П.ОАиД.3.А;АиД103_05_зф
2021.В.87.П.ОАиД.4.А;АиД105_09_зф
2021.В.87.П.ОАиД.5.А;АиД106_11_зф
2021.В.87.П.ОАиД.6.А;АиД107_15_зф
2021.В.87.П.ОАиД.7.А;АиД104_08_зф
2021.З.83.П.ИСОП.1.Б;ИСОП101Б_вф_со
2021.З.83.П.ИСОП.2.Б;ИСОП101Б_ПЮ_вф_со
2021.З.83.П.ИСОП.3.Б;ИСОП102Б_вф_со
2021.З.83.П.ИСОП.4.Б;ИСОП102Б_ПЮ_вф_со
2021.З.83.СОП.ИСОП.1.Б;ИСОП101Б_вф_спо
2021.З.83.СОП.ИСОП.2.Б;ИСОП102Б_вф_спо
2021.О.116.П.ИП.1.С;ИП101С
2021.О.116.П.ИП.10.С;ИП110С
2021.О.116.П.ИП.11.С;ИП111С
2021.О.116.П.ИП.12.С;ИП112С
2021.О.116.П.ИП.13.С;ИП113С
2021.О.116.П.ИП.14.С;ИП114С
2021.О.116.П.ИП.15.С;ИП115С
2021.О.116.П.ИП.16.С;ИП116С
2021.О.116.П.ИП.17.С;ИП117С
2021.О.116.П.ИП.2.С;ИП102С
2021.О.116.П.ИП.3.С;ИП103С
2021.О.116.П.ИП.4.С;ИП104С
2021.О.116.П.ИП.5.С;ИП105С
2021.О.116.П.ИП.6.С;ИП106С
2021.О.116.П.ИП.7.С;ИП107С
2021.О.116.П.ИП.8.С;ИП108С
2021.О.116.П.ИП.9.С;ИП109С
2021.О.116.П.ИПиП.1.С;ИПиП101СД
2021.О.116.П.ИЮ.1.С;ИЮ111СД
2021.О.116.П.ИЮ.2.С;ИЮ112СД
2021.О.116.П.ИЮ.3.С;ИЮ113СД
2021.О.116.П.ИЮ.4.С;ИЮ114СД
2021.О.83.П.ИГиМП.1.Б;ИГиМП101Б
2021.О.83.П.ИГиМП.2.Б;ИГиМП102Б
2021.О.83.П.ИГиМП.3.Б;ИГиМП103Б
2021.О.83.П.ИГиМП.4.Б;ИГиМП104Б
2021.О.83.П.ИГиМП.5.Б;ИГиМП105Б
2021.О.83.П.ИГиМП.6.Б;ИГиМП106Б
2021.О.83.П.ИП.1.Б;ИП101Б
2021.О.83.П.ИП.2.Б;ИП102Б
2021.О.83.П.ИП.3.Б;ИП103Б
2021.О.83.П.ИПиП.1.Б;ИПиП101Б
2021.О.83.П.ИПиП.2.Б;ИПиП102Б
2021.О.83.П.ИПиП.3.Б;ИПиП103Б
2021.О.83.П.ИПиП.4.Б;ИПиП104Б
2021.О.83.П.ИПиП.5.Б;ИПиП105Б
2021.О.83.П.ИЮ.1.Б;ИЮ111Б
2021.О.83.П.ИЮ.2.Б;ИЮ112Б
2021.О.83.П.ИЮ.3.Б;ИЮ113Б
2021.О.83.П.ИЮ.4.Б;ИЮ114Б
2021.О.83.П.ИЮ.5.Б;ИЮ115Б
2021.О.83.П.ИЮ.6.Б;ИЮ116Б
2021.О.83.П.ИЮ.7.Б;ИЮ117Б
2021.О.83.П.ИЮ.8.Б;ИЮ118Б
2021.О.83.СОП.ИСОП.1.Б;ИСОП101Б_спо
2021.О.84.П.ИГиМП.1.М;ИГиМП601М
2021.О.84.П.ИГиМП.2.М;ИГиМП602М
2021.О.84.П.ИГиМП.3.М;ИГиМП603М
2021.О.84.П.ИГиМП.4.М;ИГиМП604М
2021.О.84.П.ИГиМП.5.М;ИГиМП605М
2021.О.84.П.ИП.1.М;ИП601М
2021.О.84.П.ИП.2.М;ИП602М
2021.О.84.П.ИП.3.М;ИП603М
2021.О.84.П.ИПиП.1.М;ИПиП601М
2021.О.84.П.ИПиП.2.М;ИПиП602М
2021.О.84.П.ИПиП.3.М;ИПиП603М
2021.О.84.П.ИПиП.4.М;ИПиП604М
2021.О.84.П.ИПиП.5.М;ИПиП605М
2021.О.84.П.ИЮ.1.М;ИЮ602/1М
2021.О.84.П.ИЮ.2.М;ИЮ602М
2021.О.84.П.ИЮ.3.М;ИЮ603М
2021.О.84.П.ИЮ.4.М;ИЮ604М
2021.О.84.П.ИЮ.5.М;ИЮ605М
2021.О.85.П.ИСОП.1.СОП;ИСОП11СПО
2021.О.85.П.ИСОП.2.СОП;ИСОП12СПО
2021.О.85.П.ИСОП.3.СОП;ИСОП13СПО
2021.О.85.П.ИСОП.4.СОП;ИСОП14СПО
2021.О.85.П.ИСОП.5.СОП;ИСОП15СПО
2021.О.86.П.ИЮ.1.С;ИЮ111С
2021.О.86.П.ИЮ.2.С;ИЮ112С
2021.О.86.П.ИЮ.3.С;ИЮ113С
2021.О.86.П.ИЮ.4.С;ИЮ114С
2021.О.87.П.ОАиД.1.А;АиД101_01
2021.О.87.П.ОАиД.10.А;АиД110_15
2021.О.87.П.ОАиД.2.А;АиД102_03
2021.О.87.П.ОАиД.3.А;АиД103_03
2021.О.87.П.ОАиД.4.А;АиД104_05
2021.О.87.П.ОАиД.5.А;АиД105_08
2021.О.87.П.ОАиД.6.А;АиД106_09
2021.О.87.П.ОАиД.7.А;АиД107_10
2021.О.87.П.ОАиД.8.А;АиД108_12
2021.О.87.П.ОАиД.9.А;АиД109_14
Абит.АиД;Абит.АиД
Абит.ВФ;Абитуриент
Абит.ИГиМП;Абитуриент
Абит.ИДО;Абитуриент
Абит.ИЗиУО;Абитуриент
Абит.ИП;Абитуриент
Абит.ИПиП;Абитуриент
Абит.ИСОП;Абит.ИСОП
Абит.ИЮ;Абитуриент
Абит.ФДО;Абитуриент
Абит.ФПиПКСК;Абит.ФПиПКСК
Абит.ФСПО;Абитуриент
Академ.ВФ;АкадемО
Академ.ИЗиУО;АкадемическийОтпуск
Академ.ИПиП;Академический отпуск
Академ.ФСПО;Академ_отпуск
Архив.АиД;АРХИВ
Архив.ВФ;Архив.ВФ
Архив.ЗФВО;Архив.ЗФВО
Архив.ЗФСО;Архив.ЗФСО
Архив.ИГиМП;Архив.ИГиМП
Архив.ИЗиУО;Архив.ИЗиУО
Архив.ИП;Архив.ИП
Архив.ИПиП;Архив.ИПиП
Архив.ИЮ;Архив.ИЮ
Архив.РЗФ;Архив.РЗФ
Архив.Уфа;АРХИВ
Архив.ФДО;АРХИВ
Архив.ФМП;Архив.ФМП
Архив.ФПБП;Архив.ФПБП
Архив.ФПиП;Архив.ФПиП
Архив.ФСПО;Архив.ФСПО
Восст.АиД.2016_2017;Выпуск_АиД_2016_2017
Восст.АиД.2017_2018;Выпуск_АиД_2017_2018
Восст.ВФ.2016_2017;Выпуск_ВФ_2016_2017
Восст.ВФ.2017_2018;Выпуск_ВФ_2017_2018
Восст.ИГиМП.2016_2017;Выпуск_ИГиМП_2016_2017
Восст.ИГиМП.2017_2018;Выпуск_ИГиМП_2017_2018
Восст.ИГиМП.2018_2019;Выпуск.2018_2019
Восст.ИГиМП.2019_2020;Выпуск.2019_2020
Восст.ИГиМП.2021_2022;ИГиМП_Выпуск_зф_21
Восст.ИДО.2020_2021;Выпуск.2020_2021
Восст.ИЗиУО.2016_2017;Выпуск_ИЗиУО_2016_2017
Восст.ИЗиУО.2017_2018;Выпуск_ИЗиУО_2017_2018
Восст.ИП.2016_2017;Выпуск_ИП_2016_2017
Восст.ИП.2017_2018;Выпуск_ИП_2017_2018
Восст.ИП.2018_2019;Выпуск.2018_2019
Восст.ИП.2019_2020;Выпуск.2019_2020
Восст.ИП.2020_2021;Выпуск.2020_2021
Восст.ИП.2020_2021_М_зф;ИП_Мвыпуск_зф
Восст.ИП.2021_2022;Выпуск.2021_2022
Восст.ИПиП.2016_2017;Выпуск_ИПиП_2016_2017
Восст.ИПиП.2017_2018;Выпуск_ИПиП_2017_2018
Восст.ИПиП.2018_2019;Выпуск.2018_2019
Восст.ИПиП.2019_2020;Выпуск.2019_2020
Восст.ИСОП.2018_2019;Выпуск.2018_2019
Восст.ИСОП.2019_2020;Выпуск.2019_2020
Восст.ИСОП.2020_2021;Выпуск.2020_2021
Восст.ИСОП.2021_2022;Выпуск.2021_2022
Восст.ИЮ.2016_2017;Выпуск_ИЮ_2016_2017
Восст.ИЮ.2017_2018;Выпуск_ИЮ_2017_2018
Восст.ИЮ.2018_2019;Выпуск.2018_2019
Восст.ИЮ.2019_2020;Выпуск.2019_2020
Восст.ФДО.2016_2017;Выпуск_ФДО_2016_2017
Восст.ФДО.2017_2018;Выпуск_ФДО_2017_2018
Восст.ФПиПКСК.2021_2022;Выпуск
Восст.ФСПО.2016_2017;Выпуск_ФСПО_2016_2017
Восст.ФСПО.2017_2018;Выпуск_ФСПО_2017_2018
Спр.ВФ;СПРАВКИ
Спр.ИГиМП;СПРАВКИ
Спр.ИЗиУО;СПРАВКИ
Спр.ИП;СПРАВКИ
Спр.ИПиП;СПРАВКИ
Спр.ИЮ;СПРАВКИ
Спр.Уфа;СПРАВКИ
Спр.ФДО;СПРАВКИ
Спр.ФМП;СПРАВКИ
Спр.ФСПО;СПРАВКИ
Челябинск;Челябинск
